Region,Ward,Booze,Gambling,Hooker,CA
N,1,4,6,0.4,0
N,2,7,10,5.7,0
N,3,9,11,3.4,1
N,4,10,15,10,0
N,5,13,47,41.1,1
N,6,14,44,8.2,1
N,7,18,10,0.5,1
N,8,19,26,18.3,1
N,9,19,20,1,0
N,10,21,54,21.5,0
S,11,1,2,0.5,0
S,12,2,5,2.5,1
S,13,4,8,3,0
S,14,5,10,7.2,0
S,15,11,51,2.1,1
S,16,16,10,4.9,0
S,17,17,16,9.6,0
S,18,18,105,0,0
S,19,18,7,0.6,0
S,20,20,29,9.3,1
S,21,24,100,11.2,0
S,22,36,50,53.5,0
S,23,43,21,0.8,0
W,24,6,11,5.3,0
W,25,6,1,0,1
W,26,7,7,3,0
W,27,8,7,3.9,0
W,28,9,18,2.8,1
W,29,25,10,6.5,0
W,30,39,11,2.7,0
